STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1492917317|1492917547|230000|2017/04/23:11:15:17|2017/04/23:11:19:07|0h 3m 50s|q03|100|power_test|0|SUCCESS|0|HAS_RESULT|1697
1492917562|1492917713|151000|2017/04/23:11:19:22|2017/04/23:11:21:53|0h 2m 31s|q06|100|power_test|0|SUCCESS|0|HAS_RESULT|7242
1492917729|1492917819|90000|2017/04/23:11:22:09|2017/04/23:11:23:39|0h 1m 30s|q07|100|power_test|0|SUCCESS|0|HAS_RESULT|90
1492917835|1492918021|186000|2017/04/23:11:23:55|2017/04/23:11:27:01|0h 3m 6s|q08|100|power_test|0|SUCCESS|0|HAS_RESULT|24
1492918036|1492918101|65000|2017/04/23:11:27:16|2017/04/23:11:28:21|0h 1m 5s|q09|100|power_test|0|SUCCESS|0|HAS_RESULT|7
1492918117|1492918689|572000|2017/04/23:11:28:37|2017/04/23:11:38:09|0h 9m 32s|q10|100|power_test|0|SUCCESS|0|HAS_RESULT|593398701
1492918705|1492918768|63000|2017/04/23:11:38:25|2017/04/23:11:39:28|0h 1m 3s|q11|100|power_test|0|SUCCESS|0|HAS_RESULT|10
1492918784|1492918874|90000|2017/04/23:11:39:44|2017/04/23:11:41:14|0h 1m 30s|q12|100|power_test|0|SUCCESS|0|HAS_RESULT|768815
1492918889|1492918964|75000|2017/04/23:11:41:29|2017/04/23:11:42:44|0h 1m 15s|q13|100|power_test|0|SUCCESS|0|HAS_RESULT|3420
1492918979|1492919040|61000|2017/04/23:11:42:59|2017/04/23:11:44:00|0h 1m 1s|q14|100|power_test|0|SUCCESS|0|HAS_RESULT|7
1492919056|1492919109|53000|2017/04/23:11:44:16|2017/04/23:11:45:09|0h 0m 53s|q15|100|power_test|0|SUCCESS|0|HAS_RESULT|28
1492919125|1492919214|89000|2017/04/23:11:45:25|2017/04/23:11:46:54|0h 1m 29s|q16|100|power_test|0|SUCCESS|0|HAS_RESULT|3135
1492919230|1492919312|82000|2017/04/23:11:47:10|2017/04/23:11:48:32|0h 1m 22s|q17|100|power_test|0|SUCCESS|0|HAS_RESULT|32
1492919328|1492919421|93000|2017/04/23:11:48:48|2017/04/23:11:50:21|0h 1m 33s|q19|100|power_test|0|SUCCESS|0|HAS_RESULT|15885974
1492919437|1492919530|93000|2017/04/23:11:50:37|2017/04/23:11:52:10|0h 1m 33s|q21|100|power_test|0|SUCCESS|0|HAS_RESULT|23250
1492919545|1492919634|89000|2017/04/23:11:52:25|2017/04/23:11:53:54|0h 1m 29s|q22|100|power_test|0|SUCCESS|0|HAS_RESULT|4598
1492919649|1492919722|73000|2017/04/23:11:54:09|2017/04/23:11:55:22|0h 1m 13s|q24|100|power_test|0|SUCCESS|0|HAS_RESULT|16
1492919738|1492919815|77000|2017/04/23:11:55:38|2017/04/23:11:56:55|0h 1m 17s|q27|100|power_test|0|SUCCESS|0|HAS_RESULT|831554
